batch_id,service_id,model,mass_utilization_percent,volume_utilization_percent,energy_budget_utilization_percent
Q1-001,S001,C,97.5,94.0,46.808996951635464
Q1-002,S001,C,95.0,63.6,45.58731399354418
Q1-003,S002,B,83.33333333333333,91.78082191780823,84.79602941381211
Q1-004,S002,C,70.0,57.599999999999994,89.39619068665539
Q1-005,S003,B,83.33333333333333,91.78082191780823,86.87743856976897
Q1-006,S003,C,70.0,57.599999999999994,90.08382335912246
Q1-007,S004,C,73.75,62.4,96.13843951835283
Q1-008,S005,C,73.75,62.4,65.9708964600799
Q1-009,S006,C,73.75,62.4,40.59275453810441
Q1-010,S007,C,56.25,51.6,53.29693450692686
Q1-011,S008,C,56.25,51.6,91.18782293697436
Q1-012,S009,B,83.33333333333333,91.78082191780823,65.50829380429171
Q1-013,S010,B,83.33333333333333,91.78082191780823,56.97551763223169
Q1-014,S011,B,83.33333333333333,91.78082191780823,33.56052144984698
Q1-015,S012,B,83.33333333333333,91.78082191780823,86.01874857156038
Q1-016,S013,B,83.33333333333333,91.78082191780823,57.025880971273345
Q1-017,S014,B,83.33333333333333,91.78082191780823,66.88409306693089
Q1-018,S015,B,83.33333333333333,91.78082191780823,72.11026580476612
