batch_id,prepare_s,load_s,flight_s,handover_s,work_time_s
Q1-001,300,240,618.1750458620229,468,1626.175045862023
Q1-002,300,210,618.1750458620229,432,1560.175045862023
Q1-003,300,90,1186.7240813077576,240,1816.7240813077576
Q1-004,300,150,1231.8421660245544,360,2041.8421660245544
Q1-005,300,90,1450.6096650380623,240,2080.6096650380623
Q1-006,300,150,1560.1777110992603,360,2370.1777110992603
Q1-007,300,180,1425.0547187724458,396,2301.054718772446
Q1-008,300,180,1001.1887154914712,396,1877.1887154914712
Q1-009,300,180,685.5526244866224,396,1561.5526244866223
Q1-010,300,150,1097.600698410691,360,1907.600698410691
Q1-011,300,150,1389.7115246008332,360,2199.7115246008334
Q1-012,300,90,928.4628643343575,240,1558.4628643343576
Q1-013,300,90,925.4035197802174,240,1555.4035197802173
Q1-014,300,90,558.4247628605204,240,1188.4247628605203
Q1-015,300,90,1292.826814149187,240,1922.826814149187
Q1-016,300,90,880.511588744525,240,1510.511588744525
Q1-017,300,90,1239.7476752786913,240,1869.7476752786913
Q1-018,300,90,1198.3275601736595,240,1828.3275601736595
