service_id,model,full_load_maximum_reserve_percent,empty_roundtrip_maximum_reserve_percent
S001,A,70.82866130264864,74.18821075903834
S002,A,31.322006052488593,39.114519168653786
S003,A,29.84404335999259,38.020316175391876
S004,A,27.406854795542333,35.69018418591347
S005,A,50.11411085804238,55.81237572415614
S006,A,69.11816443363475,72.805453000345
S007,A,55.15616686477751,60.49859011506131
S008,A,24.729100897210763,33.3236181743511
S009,A,46.95802637733637,53.01125594456828
S010,A,53.98378304403022,59.41571102836094
S011,A,72.89786415854222,76.05837972585877
S012,A,30.412876553039325,38.404322999070615
S013,A,53.90633119997956,59.32649717547449
S014,A,46.09806154469891,52.49340195226717
S015,A,41.79234960819343,48.73556913919235
S001,B,68.15147570379617,76.74435597704931
S002,B,25.029492203099537,45.396136977298404
S003,B,23.385246050402444,44.07372732265193
S004,B,20.755037686207956,42.18703797898967
S005,B,45.54355997183202,60.251863017196484
S006,B,66.24943414681861,75.46036647285786
S007,B,51.00460951446675,64.24157684331632
S008,B,17.821068753133652,40.15734238780637
S009,B,42.08964956100269,57.84141262727389
S010,B,49.723989691136374,63.41387431401636
S011,B,70.40193492918618,78.39940089292902
S012,B,24.021361555099396,44.62947190172637
S013,B,49.63925894908444,63.39943912276027
S014,B,41.11948655492576,56.95343718935123
S015,B,36.38680183551828,53.744550130602505
S001,C,61.478695491671,75.73259410464861
S002,C,8.150655640908278,42.093300883937076
S003,C,7.714668322512452,41.95116621643295
S004,C,3.559447017294748,39.200174189984
S005,C,33.84196481273808,58.28874375336663
S006,C,59.334102642995965,74.53311026118644
S007,C,41.50487287058413,63.306834231139085
S008,C,-0.47498008429660565,36.705170887197845
S009,C,29.129841639780864,55.35682925068735
S010,C,39.26428841731292,61.89903797516555
S011,C,64.33487161380465,77.56968558411732
S012,C,7.513696310507056,41.75962014494316
S013,C,38.85357461324812,61.64144932700343
S014,C,29.905166738900412,55.980046247751346
S015,C,23.334187278518737,51.98129937546291
