service_id,start_distance_m,end_distance_m,terrain_upper_envelope_m
S004,0.0,26.760855189960886,128.7255401611328
S004,26.760855189960886,57.66967384296798,130.80474853515625
S004,57.66967384296798,88.57849249597508,133.40194702148438
S004,88.57849249597508,119.48731114898217,133.6541290283203
S004,119.48731114898217,127.02577642998646,135.18157958984375
S004,127.02577642998646,150.39612980198928,140.734619140625
S004,150.39612980198928,181.30494845499635,142.61325073242188
S004,181.30494845499635,212.21376710800345,146.64341735839844
S004,212.21376710800345,243.12258576101055,148.6941375732422
S004,243.12258576101055,274.03140441401763,149.6065673828125
S004,274.03140441401763,304.9402230670247,154.50082397460938
S004,304.9402230670247,335.84904172003183,153.51010131835938
S004,335.84904172003183,366.75786037303897,148.1344757080078
S004,366.75786037303897,397.66667902604604,136.24497985839844
S004,397.66667902604604,419.79284666093514,131.78041076660156
S004,419.79284666093514,428.57549767905317,146.40965270996094
S004,428.57549767905317,459.48431633206025,133.56430053710938
S004,459.48431633206025,490.39313498506726,128.43751525878906
S004,490.39313498506726,521.3019536380743,127.2642822265625
S004,521.3019536380743,552.2107722910814,127.64614868164062
S004,552.2107722910814,583.1195909440887,131.9091339111328
S004,583.1195909440887,614.0284095970958,136.98744201660156
S004,614.0284095970958,644.9372282501029,141.8100128173828
S004,644.9372282501029,675.8460469031099,149.5489959716797
S004,675.8460469031099,706.754865556117,160.66078186035156
S004,706.754865556117,712.5599168918837,169.00863647460938
S004,712.5599168918837,737.6636842091241,153.67076110839844
S004,737.6636842091241,768.5725028621313,161.8528594970703
S004,768.5725028621313,799.4813215151383,164.943359375
S004,799.4813215151383,830.3901401681454,170.0679931640625
S004,830.3901401681454,861.2989588211525,173.88925170898438
S004,861.2989588211525,892.2077774741596,181.23397827148438
S004,892.2077774741596,923.1165961271666,187.71932983398438
S004,923.1165961271666,954.0254147801738,185.7139129638672
S004,954.0254147801738,984.9342334331809,178.59912109375
S004,984.9342334331809,1005.3269871228324,163.34619140625
S004,1005.3269871228324,1015.8430520861881,161.64158630371094
S004,1015.8430520861881,1046.751870739195,149.88731384277344
S004,1046.751870739195,1077.6606893922024,136.9499969482422
S004,1077.6606893922024,1108.5695080452092,129.97531127929688
S004,1108.5695080452092,1139.4783266982165,135.10562133789062
S004,1139.4783266982165,1170.3871453512234,136.5840301513672
S004,1170.3871453512234,1201.2959640042307,141.9512176513672
S004,1201.2959640042307,1232.2047826572375,145.075927734375
S004,1232.2047826572375,1263.1136013102448,144.8016357421875
S004,1263.1136013102448,1294.0224199632519,145.4068145751953
S004,1294.0224199632519,1298.0940573537812,148.46156311035156
S004,1298.0940573537812,1324.931238616259,144.3670196533203
S004,1324.931238616259,1355.840057269266,153.87069702148438
S004,1355.840057269266,1386.748875922273,156.70394897460938
S004,1386.748875922273,1417.6576945752802,149.07289123535156
S004,1417.6576945752802,1448.5665132282872,145.0550994873047
S004,1448.5665132282872,1479.4753318812943,144.21914672851562
S004,1479.4753318812943,1510.3841505343016,145.7208709716797
S004,1510.3841505343016,1541.2929691873085,147.84678649902344
S004,1541.2929691873085,1572.2017878403158,147.49911499023438
S004,1572.2017878403158,1590.8611275847297,155.91029357910156
S004,1590.8611275847297,1603.1106064933226,150.47230529785156
S004,1603.1106064933226,1634.01942514633,157.22909545898438
S004,1634.01942514633,1664.928243799337,169.05638122558594
S004,1664.928243799337,1695.837062452344,183.481201171875
S004,1695.837062452344,1726.7458811053511,190.4971466064453
S004,1726.7458811053511,1757.6546997583582,198.35421752929688
S004,1757.6546997583582,1788.5635184113653,210.0857391357422
S004,1788.5635184113653,1819.4723370643724,217.3641357421875
S004,1819.4723370643724,1850.3811557173794,220.85052490234375
S004,1850.3811557173794,1881.2899743703867,221.84344482421875
S004,1881.2899743703867,1883.6281978156785,227.9234161376953
S004,1883.6281978156785,1912.1987930233938,223.86412048339844
S004,1912.1987930233938,1943.1076116764011,231.8917236328125
S004,1943.1076116764011,1974.0164303294077,230.84323120117188
S004,1974.0164303294077,2004.925248982415,227.68887329101562
S004,2004.925248982415,2035.8340676354221,215.29103088378906
S004,2035.8340676354221,2066.7428862884294,193.0621795654297
S004,2066.7428862884294,2097.651704941436,166.18807983398438
S004,2097.651704941436,2128.5605235944436,145.40658569335938
S004,2128.5605235944436,2159.4693422474506,149.47525024414062
S004,2159.4693422474506,2176.395268046627,152.89768981933594
S004,2176.395268046627,2190.3781609004577,150.20509338378906
S004,2190.3781609004577,2221.286979553465,153.3573760986328
S004,2221.286979553465,2252.195798206472,155.78257751464844
S004,2252.195798206472,2283.104616859479,155.85409545898438
S004,2283.104616859479,2314.013435512486,170.99403381347656
S004,2314.013435512486,2344.922254165493,186.5896453857422
S004,2344.922254165493,2375.8310728185,191.6955108642578
S004,2375.8310728185,2406.7398914715072,188.30691528320312
S004,2406.7398914715072,2437.6487101245143,185.75611877441406
S004,2437.6487101245143,2468.5575287775214,175.39700317382812
S004,2468.5575287775214,2469.1623382775756,180.39598083496094
S004,2469.1623382775756,2499.4663474305285,194.6613006591797
S004,2499.4663474305285,2530.3751660835355,196.6715087890625
S004,2530.3751660835355,2561.283984736543,208.00201416015625
S004,2561.283984736543,2592.1928033895497,208.95465087890625
S004,2592.1928033895497,2623.1016220425568,190.79507446289062
S004,2623.1016220425568,2654.0104406955643,173.6873779296875
S004,2654.0104406955643,2684.9192593485714,172.0814971923828
S004,2684.9192593485714,2715.828078001578,157.056396484375
S004,2715.828078001578,2746.736896654585,142.5
S004,2746.736896654585,2761.9294085085244,143.43020629882812
S004,2761.9294085085244,2777.6457153075926,155.51866149902344
S004,2777.6457153075926,2808.5545339605997,155.973388671875
S004,2808.5545339605997,2839.4633526136067,154.1881866455078
S004,2839.4633526136067,2870.372171266614,151.84320068359375
S004,2870.372171266614,2901.280989919621,153.82589721679688
S004,2901.280989919621,2932.189808572628,156.2194366455078
S004,2932.189808572628,2963.098627225635,163.52664184570312
S004,2963.098627225635,2994.007445878642,165.24435424804688
S004,2994.007445878642,3024.916264531649,163.80648803710938
S004,3024.916264531649,3054.696478739473,160.19024658203125
S004,3054.696478739473,3055.8250831846563,165.89923095703125
S004,3055.8250831846563,3086.733901837664,162.44692993164062
S004,3086.733901837664,3117.6427204906704,164.19252014160156
S004,3117.6427204906704,3148.5515391436775,158.78688049316406
S004,3148.5515391436775,3179.4603577966845,149.3049774169922
S004,3179.4603577966845,3210.369176449692,145.80996704101562
S004,3210.369176449692,3241.2779951026987,145.0
S004,3241.2779951026987,3272.1868137557058,156.27044677734375
S004,3272.1868137557058,3303.0956324087133,162.89291381835938
S004,3303.0956324087133,3334.0044510617204,168.65489196777344
S004,3334.0044510617204,3347.463548970422,178.29190063476562
S004,3347.463548970422,3364.913269714727,175.8939971923828
S004,3364.913269714727,3395.822088367734,186.71287536621094
S004,3395.822088367734,3426.7309070207416,194.13021850585938
S004,3426.7309070207416,3457.6397256737487,178.21229553222656
S004,3457.6397256737487,3488.5485443267553,159.15647888183594
S004,3488.5485443267553,3519.457362979763,155.0780792236328
S004,3519.457362979763,3550.36618163277,152.6243438720703
S004,3550.36618163277,3581.275000285777,152.5611114501953
S004,3581.275000285777,3612.183818938784,152.39642333984375
S004,3612.183818938784,3640.2306192013702,153.65542602539062
S004,3640.2306192013702,3643.092637591791,152.44845581054688
S004,3643.092637591791,3674.001456244798,154.3355712890625
S004,3674.001456244798,3704.9102748978053,156.31532287597656
S004,3704.9102748978053,3735.819093550813,151.287353515625
S004,3735.819093550813,3766.7279122038194,150.92530822753906
S004,3766.7279122038194,3797.6367308568265,162.3950653076172
S004,3797.6367308568265,3828.545549509834,183.3037109375
S004,3828.545549509834,3859.454368162841,199.10415649414062
S004,3859.454368162841,3890.363186815848,207.93797302246094
S004,3890.363186815848,3921.2720054688552,216.4515380859375
S004,3921.2720054688552,3932.997689432319,229.3142547607422
S004,3932.997689432319,3952.180824121862,219.24574279785156
S004,3952.180824121862,3983.089642774869,230.7282257080078
S004,3983.089642774869,4013.998461427876,242.52313232421875
S004,4013.998461427876,4044.9072800808835,251.66712951660156
S004,4044.9072800808835,4075.8160987338906,261.73699951171875
S004,4075.8160987338906,4106.724917386898,261.97412109375
S004,4106.724917386898,4137.633736039905,258.0741882324219
S004,4137.633736039905,4168.542554692912,249.6328887939453
S004,4168.542554692912,4199.451373345919,238.20452880859375
S004,4199.451373345919,4225.764759663268,235.0436248779297
S004,4225.764759663268,4230.360191998926,248.972900390625
S004,4230.360191998926,4261.269010651933,243.23431396484375
S004,4261.269010651933,4292.17782930494,241.8838653564453
S004,4292.17782930494,4323.086647957947,231.58334350585938
S004,4323.086647957947,4353.995466610954,213.44931030273438
S004,4353.995466610954,4384.904285263961,220.03909301757812
S004,4384.904285263961,4415.813103916968,239.4560089111328
S004,4415.813103916968,4446.7219225699755,250.90737915039062
S004,4446.7219225699755,4477.630741222983,259.4090576171875
S004,4477.630741222983,4508.53955987599,268.830078125
S004,4508.53955987599,4518.531829894216,281.0758056640625
S004,4518.531829894216,4539.448378528997,282.9464416503906
S004,4539.448378528997,4570.357197182004,292.7298889160156
S004,4570.357197182004,4601.266015835011,281.9906921386719
S004,4601.266015835011,4632.174834488019,262.96710205078125
S004,4632.174834488019,4663.083653141026,256.8616027832031
S004,4663.083653141026,4693.992471794033,259.81787109375
S004,4693.992471794033,4724.901290447039,249.02392578125
S004,4724.901290447039,4755.810109100046,263.3919982910156
S004,4755.810109100046,4786.718927753053,273.4190673828125
S004,4786.718927753053,4811.298900125165,262.6319274902344
S004,4811.298900125165,4817.62774640606,269.24664306640625
S004,4817.62774640606,4848.536565059068,256.74700927734375
S004,4848.536565059068,4879.445383712075,245.01673889160156
S004,4879.445383712075,4910.3542023650825,245.36541748046875
S004,4910.3542023650825,4941.26302101809,253.28311157226562
S004,4941.26302101809,4972.171839671096,238.1753387451172
S004,4972.171839671096,5003.080658324103,224.1054229736328
S004,5003.080658324103,5033.98947697711,232.8063201904297
S004,5033.98947697711,5064.898295630118,244.8858642578125
S004,5064.898295630118,5095.807114283125,248.09786987304688
S004,5095.807114283125,5104.065970356114,262.0197448730469
S004,5104.065970356114,5126.715932936132,249.9714813232422
S004,5126.715932936132,5157.624751589139,265.5665283203125
S004,5157.624751589139,5188.533570242146,273.5014343261719
S004,5188.533570242146,5219.442388895152,272.1981201171875
S004,5219.442388895152,5250.351207548159,269.40679931640625
S004,5250.351207548159,5281.260026201167,277.4698181152344
S004,5281.260026201167,5312.1688448541745,275.8066711425781
S004,5312.1688448541745,5343.077663507182,264.420166015625
S004,5343.077663507182,5373.986482160189,268.54296875
S004,5373.986482160189,5396.833040587062,273.0462951660156
S004,5396.833040587062,5404.895300813196,283.02777099609375
S004,5404.895300813196,5435.804119466203,285.51690673828125
S004,5435.804119466203,5466.71293811921,288.6454772949219
S004,5466.71293811921,5497.621756772217,288.7551574707031
S004,5497.621756772217,5528.530575425224,290.4381103515625
S004,5528.530575425224,5559.439394078231,294.0818176269531
S004,5559.439394078231,5590.348212731238,294.41876220703125
S004,5590.348212731238,5621.257031384245,309.4656982421875
S004,5621.257031384245,5652.165850037252,323.8739929199219
S004,5652.165850037252,5683.074668690259,311.37042236328125
S004,5683.074668690259,5689.600110818011,302.15777587890625
