service_id,distance_m,terrain_upper_envelope_m
S004,0.0,128.7255401611328
S004,26.760855189960886,130.80474853515625
S004,57.66967384296798,133.40194702148438
S004,88.57849249597508,133.6541290283203
S004,119.48731114898217,135.18157958984375
S004,127.02577642998646,140.734619140625
S004,150.39612980198928,142.61325073242188
S004,181.30494845499635,146.64341735839844
S004,212.21376710800345,148.6941375732422
S004,243.12258576101055,149.6065673828125
S004,274.03140441401763,154.50082397460938
S004,304.9402230670247,154.50082397460938
S004,335.84904172003183,153.51010131835938
S004,366.75786037303897,148.1344757080078
S004,397.66667902604604,136.24497985839844
S004,419.79284666093514,146.40965270996094
S004,428.57549767905317,146.40965270996094
S004,459.48431633206025,133.56430053710938
S004,490.39313498506726,128.43751525878906
S004,521.3019536380743,127.64614868164062
S004,552.2107722910814,131.9091339111328
S004,583.1195909440887,136.98744201660156
S004,614.0284095970958,141.8100128173828
S004,644.9372282501029,149.5489959716797
S004,675.8460469031099,160.66078186035156
S004,706.754865556117,169.00863647460938
S004,712.5599168918837,169.00863647460938
S004,737.6636842091241,161.8528594970703
S004,768.5725028621313,164.943359375
S004,799.4813215151383,170.0679931640625
S004,830.3901401681454,173.88925170898438
S004,861.2989588211525,181.23397827148438
S004,892.2077774741596,187.71932983398438
S004,923.1165961271666,187.71932983398438
S004,954.0254147801738,185.7139129638672
S004,984.9342334331809,178.59912109375
S004,1005.3269871228324,163.34619140625
S004,1015.8430520861881,161.64158630371094
S004,1046.751870739195,149.88731384277344
S004,1077.6606893922024,136.9499969482422
S004,1108.5695080452092,135.10562133789062
S004,1139.4783266982165,136.5840301513672
S004,1170.3871453512234,141.9512176513672
S004,1201.2959640042307,145.075927734375
S004,1232.2047826572375,145.075927734375
S004,1263.1136013102448,145.4068145751953
S004,1294.0224199632519,148.46156311035156
S004,1298.0940573537812,148.46156311035156
S004,1324.931238616259,153.87069702148438
S004,1355.840057269266,156.70394897460938
S004,1386.748875922273,156.70394897460938
S004,1417.6576945752802,149.07289123535156
S004,1448.5665132282872,145.0550994873047
S004,1479.4753318812943,145.7208709716797
S004,1510.3841505343016,147.84678649902344
S004,1541.2929691873085,147.84678649902344
S004,1572.2017878403158,155.91029357910156
S004,1590.8611275847297,155.91029357910156
S004,1603.1106064933226,157.22909545898438
