service_id,model,counts,box_count,mass_kg,volume_m3,horizontal_out_kwh,horizontal_return_kwh,climb_out_kwh,climb_return_kwh,energy_kwh,flight_time_s,work_time_s,critical_reserve_percent,return_soc_percent,payload_limit_kg,volume_limit_m3
S001,A,"[0,0,0,1]",1,6.0,0.035,0.5629623665603356,0.5497242493526958,0.04179593612606332,0.023585760179666824,1.1780683122187614,680.9069627433815,1190.9069627433814,73.82070417291642,73.82070417291642,25,0.06
S001,B,"[0,0,0,1]",1,6.0,0.035,0.4536798107333214,0.4362890867878538,0.03904620348619073,0.021901063023976337,0.9509161640313423,579.1061758262156,1089.1061758262156,76.22709589921645,76.22709589921645,30,0.073
S001,C,"[0,0,0,1]",1,6.0,0.035,0.9502086727084239,0.9396995715430697,0.04174094147326587,0.023552066236553017,1.9552012519613124,618.1750458620229,1164.175045862023,75.55998435048359,75.55998435048359,80,0.25
S001,B,"[0,0,0,2]",2,12.0,0.07,0.4893442549819508,0.4362890867878538,0.04234588265403783,0.021901063023976337,0.9898802874478188,579.1061758262156,1149.1061758262156,75.25299281380452,75.25299281380452,30,0.073
S001,C,"[0,0,0,2]",2,12.0,0.07,0.9700442919841075,0.9396995715430697,0.04504062064111297,0.023552066236553017,1.978336550404843,618.1750458620229,1230.175045862023,75.27079311993946,75.27079311993946,80,0.25
S001,A,"[0,0,1,0]",1,8.0,0.028,0.5703739936720804,0.5497242493526958,0.04289582918201235,0.023585760179666824,1.1865798323864554,680.9069627433815,1190.9069627433814,73.63155928030099,73.63155928030099,25,0.06
S001,B,"[0,0,1,0]",1,8.0,0.028,0.463652409620447,0.4362890867878538,0.04014609654213976,0.021901063023976337,0.9619886559744169,579.1061758262156,1089.1061758262156,75.95028360063958,75.95028360063958,30,0.073
S001,C,"[0,0,1,0]",1,8.0,0.028,0.9559776228996975,0.9396995715430697,0.0428408345292149,0.023552066236553017,1.962070095208535,618.1750458620229,1164.175045862023,75.47412380989331,75.47412380989331,80,0.25
S001,B,"[0,0,1,1]",2,14.0,0.063,0.505330357352305,0.4362890867878538,0.04344577570998687,0.021901063023976337,1.0069662828741222,579.1061758262156,1149.1061758262156,74.82584292814694,74.82584292814694,30,0.073
S001,C,"[0,0,1,1]",2,14.0,0.063,0.9782622374743847,0.9396995715430697,0.046140513697062006,0.023552066236553017,1.9876543889510694,618.1750458620229,1230.175045862023,75.15432013811163,75.15432013811163,80,0.25
