threshold_percent,equality_plan_id,above_plan_id,old_flight_count,new_flight_count,old_energy_kwh,new_energy_kwh,old_work_time_s,new_work_time_s,changes
23.089248385317727,R001,R002,18,19,59.13226032599277,61.07431115757807,32776.5167822769,34566.15844562943,"[{""service_id"":""S004"",""old_batches"":[{""model"":""C"",""counts"":[1,3,1,1],""mass_kg"":59.0,""volume_m3"":0.156,""energy_kwh"":6.152860129174582,""critical_reserve_percent"":23.089248385317727}],""new_batches"":[{""model"":""B"",""counts"":[1,1,0,0],""mass_kg"":17.0,""volume_m3"":0.039,""energy_kwh"":2.5764747430256225,""critical_reserve_percent"":35.58813142435944},{""model"":""C"",""counts"":[0,2,1,1],""mass_kg"":42.0,""volume_m3"":0.117,""energy_kwh"":5.5184362177342665,""critical_reserve_percent"":31.019547278321667}],""flight_count_change"":1,""energy_change_kwh"":1.9420508315853082}]"
27.04974165042051,R002,R003,19,20,61.07431115757807,63.291051673035774,34566.15844562943,36336.00019280513,"[{""service_id"":""S008"",""old_batches"":[{""model"":""C"",""counts"":[1,2,1,1],""mass_kg"":45.0,""volume_m3"":0.129,""energy_kwh"":5.836020667966359,""critical_reserve_percent"":27.04974165042051}],""new_batches"":[{""model"":""B"",""counts"":[0,0,1,1],""mass_kg"":14.0,""volume_m3"":0.063,""energy_kwh"":2.5893362522722065,""critical_reserve_percent"":35.266593693194835},{""model"":""C"",""counts"":[1,2,0,0],""mass_kg"":31.0,""volume_m3"":0.066,""energy_kwh"":5.463424931151853,""critical_reserve_percent"":31.707188360601833}],""flight_count_change"":1,""energy_change_kwh"":2.216740515457701}]"
27.93294131270203,R003,R004,20,20,63.291051673035774,65.24374637868848,36336.00019280513,36493.568238866326,"[{""service_id"":""S003"",""old_batches"":[{""model"":""B"",""counts"":[1,1,1,0],""mass_kg"":25.0,""volume_m3"":0.067,""energy_kwh"":2.7800780342326075,""critical_reserve_percent"":30.49804914418481},{""model"":""C"",""counts"":[0,3,1,1],""mass_kg"":56.0,""volume_m3"":0.144,""energy_kwh"":5.7653646949838375,""critical_reserve_percent"":27.93294131270203}],""new_batches"":[{""model"":""C"",""counts"":[0,2,1,1],""mass_kg"":42.0,""volume_m3"":0.117,""energy_kwh"":5.288613559218573,""critical_reserve_percent"":33.892330509767845},{""model"":""C"",""counts"":[1,2,1,0],""mass_kg"":39.0,""volume_m3"":0.094,""energy_kwh"":5.209523875650586,""critical_reserve_percent"":34.88095155436768}],""flight_count_change"":0,""energy_change_kwh"":1.9526947056527124}]"
28.48304745067569,R004,R005,20,20,65.24374637868848,67.2287315236232,36493.568238866326,36586.686323583126,"[{""service_id"":""S002"",""old_batches"":[{""model"":""B"",""counts"":[1,1,1,0],""mass_kg"":25.0,""volume_m3"":0.067,""energy_kwh"":2.7134729412419873,""critical_reserve_percent"":32.16317646895032},{""model"":""C"",""counts"":[0,3,1,1],""mass_kg"":56.0,""volume_m3"":0.144,""energy_kwh"":5.721356203945945,""critical_reserve_percent"":28.48304745067569}],""new_batches"":[{""model"":""C"",""counts"":[0,2,1,1],""mass_kg"":42.0,""volume_m3"":0.117,""energy_kwh"":5.248771058449141,""critical_reserve_percent"":34.390361769385734},{""model"":""C"",""counts"":[1,2,1,0],""mass_kg"":39.0,""volume_m3"":0.094,""energy_kwh"":5.1710432316735,""critical_reserve_percent"":35.36195960408125}],""flight_count_change"":0,""energy_change_kwh"":1.9849851449347096}]"
31.019547278321667,R005,R006,20,20,67.2287315236232,67.23874008286306,36586.686323583126,36586.686323583126,"[{""service_id"":""S004"",""old_batches"":[{""model"":""B"",""counts"":[1,1,0,0],""mass_kg"":17.0,""volume_m3"":0.039,""energy_kwh"":2.5764747430256225,""critical_reserve_percent"":35.58813142435944},{""model"":""C"",""counts"":[0,2,1,1],""mass_kg"":42.0,""volume_m3"":0.117,""energy_kwh"":5.5184362177342665,""critical_reserve_percent"":31.019547278321667}],""new_batches"":[{""model"":""B"",""counts"":[0,1,0,1],""mass_kg"":20.0,""volume_m3"":0.062,""energy_kwh"":2.6683196280242973,""critical_reserve_percent"":33.29200929939257},{""model"":""C"",""counts"":[1,2,1,0],""mass_kg"":39.0,""volume_m3"":0.094,""energy_kwh"":5.436599891975448,""critical_reserve_percent"":32.04250135030689}],""flight_count_change"":0,""energy_change_kwh"":0.01000855923985533}]"
31.185001142751688,R006,R007,20,20,67.23874008286306,69.40851960863192,36586.686323583126,36704.53665520747,"[{""service_id"":""S012"",""old_batches"":[{""model"":""B"",""counts"":[1,1,1,0],""mass_kg"":25.0,""volume_m3"":0.067,""energy_kwh"":2.7525999542899324,""critical_reserve_percent"":31.185001142751688}],""new_batches"":[{""model"":""C"",""counts"":[1,1,1,0],""mass_kg"":25.0,""volume_m3"":0.067,""energy_kwh"":4.922379480058796,""critical_reserve_percent"":38.470256499265055}],""flight_count_change"":0,""energy_change_kwh"":2.1697795257688632}]"
31.707188360601833,R007,R008,20,20,69.40851960863192,69.424945962401,36704.53665520747,36704.53665520747,"[{""service_id"":""S008"",""old_batches"":[{""model"":""B"",""counts"":[0,0,1,1],""mass_kg"":14.0,""volume_m3"":0.063,""energy_kwh"":2.5893362522722065,""critical_reserve_percent"":35.266593693194835},{""model"":""C"",""counts"":[1,2,0,0],""mass_kg"":31.0,""volume_m3"":0.066,""energy_kwh"":5.463424931151853,""critical_reserve_percent"":31.707188360601833}],""new_batches"":[{""model"":""B"",""counts"":[1,1,0,0],""mass_kg"":17.0,""volume_m3"":0.039,""energy_kwh"":2.6676802753911644,""critical_reserve_percent"":33.30799311522089},{""model"":""C"",""counts"":[0,1,1,1],""mass_kg"":28.0,""volume_m3"":0.09,""energy_kwh"":5.401507261801976,""critical_reserve_percent"":32.481159227475295}],""flight_count_change"":0,""energy_change_kwh"":0.016426353769080748}]"
32.04250135030689,R008,R009,20,20,69.424945962401,71.76060278959002,36704.53665520747,36819.94971062739,"[{""service_id"":""S004"",""old_batches"":[{""model"":""B"",""counts"":[0,1,0,1],""mass_kg"":20.0,""volume_m3"":0.062,""energy_kwh"":2.6683196280242973,""critical_reserve_percent"":33.29200929939257},{""model"":""C"",""counts"":[1,2,1,0],""mass_kg"":39.0,""volume_m3"":0.094,""energy_kwh"":5.436599891975448,""critical_reserve_percent"":32.04250135030689}],""new_batches"":[{""model"":""C"",""counts"":[0,1,1,1],""mass_kg"":28.0,""volume_m3"":0.09,""energy_kwh"":5.190519293755733,""critical_reserve_percent"":35.11850882805334},{""model"":""C"",""counts"":[1,2,0,0],""mass_kg"":31.0,""volume_m3"":0.066,""energy_kwh"":5.2500570534330375,""critical_reserve_percent"":34.37428683208703}],""flight_count_change"":0,""energy_change_kwh"":2.335656827189025}]"
32.481159227475295,R009,R010,20,20,71.76060278959002,74.29464357072257,36819.94971062739,36919.819488052526,"[{""service_id"":""S008"",""old_batches"":[{""model"":""B"",""counts"":[1,1,0,0],""mass_kg"":17.0,""volume_m3"":0.039,""energy_kwh"":2.6676802753911644,""critical_reserve_percent"":33.30799311522089},{""model"":""C"",""counts"":[0,1,1,1],""mass_kg"":28.0,""volume_m3"":0.09,""energy_kwh"":5.401507261801976,""critical_reserve_percent"":32.481159227475295}],""new_batches"":[{""model"":""C"",""counts"":[0,1,1,0],""mass_kg"":22.0,""volume_m3"":0.055,""energy_kwh"":5.293281965255011,""critical_reserve_percent"":33.83397543431236},{""model"":""C"",""counts"":[1,1,0,1],""mass_kg"":23.0,""volume_m3"":0.074,""energy_kwh"":5.309946353070681,""critical_reserve_percent"":33.625670586616486}],""flight_count_change"":0,""energy_change_kwh"":2.5340407811325516}]"
33.625670586616486,R010,R011,20,21,74.29464357072257,74.06352420478905,36919.819488052526,38595.7914578031,"[{""service_id"":""S008"",""old_batches"":[{""model"":""C"",""counts"":[0,1,1,0],""mass_kg"":22.0,""volume_m3"":0.055,""energy_kwh"":5.293281965255011,""critical_reserve_percent"":33.83397543431236},{""model"":""C"",""counts"":[1,1,0,1],""mass_kg"":23.0,""volume_m3"":0.074,""energy_kwh"":5.309946353070681,""critical_reserve_percent"":33.625670586616486}],""new_batches"":[{""model"":""B"",""counts"":[0,1,0,0],""mass_kg"":14.0,""volume_m3"":0.027,""energy_kwh"":2.5893362522722065,""critical_reserve_percent"":35.266593693194835},{""model"":""B"",""counts"":[1,0,0,1],""mass_kg"":9.0,""volume_m3"":0.047,""energy_kwh"":2.4894907348649458,""critical_reserve_percent"":37.76273162837636},{""model"":""C"",""counts"":[0,1,1,0],""mass_kg"":22.0,""volume_m3"":0.055,""energy_kwh"":5.293281965255011,""critical_reserve_percent"":33.83397543431236}],""flight_count_change"":1,""energy_change_kwh"":-0.23111936593352844}]"
