sortie,candidate,unit,drone,battery,start_s,takeoff_s,visits,return_s,energy_kwh,soc,charge_s,charge_end_s,mass_kg,volume_m3,boxes,flight_s,operation_s,rounding_s
Q2-001,42cd8bae342fa566,U05,B,BAT-B-01,0.0,360.0,"[""S002""]",1756.726,2.8702072800012117,0.28244817999969707,1910.4231546671917,3667.15,28,0.054,"[""S002-WAT-03"", ""S002-WAT-04""]",1186.7240813077574,1756.726,0.0019186922424978547
Q2-002,580101f5b41e0310,U01,A,BAT-A-01,0.0,360.0,"[""S007""]",1727.468,1.9709635056721377,0.562008109850636,1069.389457194173,2796.858,22,0.055,"[""S007-FOD-01"", ""S007-WAT-01""]",1157.4668858917819,1727.468,0.001114108218189358
Q2-003,a626e60fb441d3d9,U02,A,BAT-A-02,0.0,360.0,"[""S007""]",1727.468,1.8275023375986301,0.5938883694225267,1027.9451197507153,2755.414,9,0.047,"[""S007-HYG-01"", ""S007-MED-01""]",1157.4668858917819,1727.468,0.001114108218189358
Q2-004,de5042f189f5125d,U07,C,BAT-C-01,0.0,480.0,"[""S002""]",2107.844,5.601961218543254,0.29975484768209326,2350.5311633554643,4458.376,53,0.157,"[""S002-FOD-01"", ""S002-FOD-02"", ""S002-HYG-01"", ""S002-MED-01"", ""S002-WAT-01"", ""S002-WAT-02""]",1231.8421660245544,2107.844,0.0018339754456064838
Q2-005,608d4f4a0f4e236d,U06,B,BAT-B-02,0.001,390.001,"[""S006""]",1267.272,1.224316782124016,0.693920804468996,1197.203938920407,2464.476,25,0.067,"[""S006-FOD-01"", ""S006-MED-01"", ""S006-WAT-02""]",637.2700113681328,1267.271,0.0009886318671874506
Q2-006,31f27d56d85ce933,U08,C,BAT-C-02,0.14,480.14,"[""S001""]",1494.316,2.8127111414518087,0.6484111073185239,1595.1092674765314,3089.426,73,0.147,"[""S001-MED-02"", ""S001-WAT-01"", ""S001-WAT-02"", ""S001-WAT-03"", ""S001-WAT-07"", ""S001-WAT-08""]",618.1750458620229,1494.176,0.0009541379771462744
Q2-007,9afe5c6c32a5da1e,U06,B,BAT-B-03,1267.272,1627.272,"[""S006""]",2474.543,1.2935179229261098,0.6766205192684726,1227.1910999346476,3701.735,28,0.054,"[""S006-WAT-01"", ""S006-WAT-03""]",637.2700113681328,1207.271,0.0009886318671874506
Q2-008,cb962259f72fd244,U08,C,BAT-C-03,1494.316,2004.316,"[""S014"", ""S013"", ""S001""]",4449.009,5.794505371951577,0.27568682850605286,2402.6785382368853,6851.688,58,0.162,"[""S001-FOD-03"", ""S013-FOD-01"", ""S013-MED-01"", ""S013-WAT-01"", ""S014-FOD-01"", ""S014-MED-01"", ""S014-WAT-01""]",1652.690828189747,2954.693,0.0021718102530599026
Q2-009,0778dae839811744,U05,B,BAT-B-04,1756.726,2146.726,"[""S012""]",3679.554,2.7525999542899324,0.3118500114275169,1859.4599801923039,5539.014,25,0.067,"[""S012-FOD-01"", ""S012-MED-01"", ""S012-WAT-01""]",1292.8268141491867,1922.828,0.001185850813271827
Q2-010,4cd617b86d19dd77,U07,C,BAT-C-04,2107.844,2647.844,"[""S001""]",3734.02,2.8127111414518087,0.6484111073185239,1595.1092674765314,5329.13,73,0.219,"[""S001-FOD-01"", ""S001-FOD-02"", ""S001-HYG-01"", ""S001-HYG-02"", ""S001-MED-01"", ""S001-WAT-04"", ""S001-WAT-05"", ""S001-WAT-06""]",618.1750458620229,1626.176,0.0009541379771462744
Q2-011,6cb0366dc18b20a6,U06,B,BAT-B-02,2474.547,2864.547,"[""S010""]",4029.952,1.823216564231414,0.5441958589421465,1456.7271778336126,5486.68,25,0.067,"[""S010-FOD-01"", ""S010-MED-01"", ""S010-WAT-01""]",925.4035197802173,1555.405,0.0014802197826497832
Q2-012,81023abfb2df237c,U05,B,BAT-B-01,3679.554,4069.554,"[""S005"", ""S004""]",5895.395,2.7917500781027624,0.3020624804743094,1876.4250338445302,7771.821,25,0.067,"[""S004-FOD-01"", ""S004-MED-01"", ""S005-WAT-03""]",1435.839503105971,2215.841,0.0014968940288895283
Q2-013,4bce62fbb9acea5f,U07,C,BAT-C-02,3734.02,4154.02,"[""S004""]",5903.076,5.705440174682608,0.28681997816467397,2378.5567139765394,8281.633,48,0.116,"[""S004-HYG-01"", ""S004-WAT-01"", ""S004-WAT-02"", ""S004-WAT-03""]",1425.0547187724458,2169.056,0.0012812275542728457
Q2-014,ce31b6da4f123b55,U06,B,BAT-B-03,4029.952,4419.952,"[""S008""]",5991.795,2.9752068745422333,0.25619828136444167,1955.9229789683006,7947.718,25,0.067,"[""S008-FOD-01"", ""S008-MED-01"", ""S008-WAT-01""]",1331.841747175703,1961.843,0.0012528242970120118
Q2-015,8b9aaf2f346d3a02,U08,C,BAT-C-01,4458.376,4968.376,"[""S003""]",6960.554,6.324499390874367,0.20943757614070413,2546.218585028474,9506.773,67,0.184,"[""S003-FOD-01"", ""S003-FOD-02"", ""S003-HYG-01"", ""S003-MED-01"", ""S003-WAT-01"", ""S003-WAT-02"", ""S003-WAT-04""]",1560.1777110992603,2502.178,0.0002889007396333909
Q2-016,e82a11b15cbebeb7,U07,C,BAT-C-04,5903.076,6353.076,"[""S015"", ""S003"", ""S007""]",8756.674,6.060907508821143,0.24238656139735715,2474.8291169723925,11231.504,53,0.121,"[""S003-WAT-03"", ""S007-WAT-02"", ""S015-FOD-01"", ""S015-MED-01"", ""S015-WAT-01""]",1683.5956613060591,2853.598,0.0023386939409704155
Q2-017,49d2d26f517a7b68,U05,B,BAT-B-02,5991.791,6351.791,"[""S008""]",7893.634,2.7634312052333714,0.30914219869165716,1864.1535222677942,9757.788,20,0.062,"[""S008-HYG-01"", ""S008-WAT-02""]",1331.841747175703,1901.843,0.0012528242970120118
Q2-018,849275df1fe2a1fc,U06,B,BAT-B-04,5991.795,6381.795,"[""S009""]",7550.259,2.0962654017373348,0.4759336495656663,1575.048340752845,9125.308,25,0.067,"[""S009-FOD-01"", ""S009-MED-01"", ""S009-WAT-01""]",928.4628643343575,1558.464,0.0011356656424936773
Q2-019,76e8dd6d63e2dbd5,U08,C,BAT-C-03,6960.554,7530.554,"[""S011"", ""S005"", ""S006""]",9906.71,6.023497892188781,0.24706276347640233,2464.697345801128,12371.408,76,0.231,"[""S005-FOD-01"", ""S005-HYG-01"", ""S005-MED-01"", ""S005-WAT-01"", ""S005-WAT-02"", ""S006-HYG-01"", ""S011-FOD-01"", ""S011-MED-01"", ""S011-WAT-01""]",1512.1543691362972,2946.156,0.0016308637027577788
