sortie,segment,from,to,payload_kg,volume_m3,distance_m,cruise_altitude_m,climb_m,descent_m,start_s,end_s,flight_s,energy_kwh
Q2-001,1,O01,S001,73.0,0.147,3054.0236075149764,273.0566101074219,145.3566101074219,89.05661010742188,480.0,786.273,306.27252293101145,1.8494595036721861
Q2-001,2,S001,O01,0.0,0.0,3054.0236075149764,273.0566101074219,89.05661010742188,145.3566101074219,1182.273,1494.176,311.90252293101145,0.9632516377796227
Q2-002,1,O01,S002,64.0,0.136,7411.533814153884,308.9542541503906,181.25425415039064,89.45425415039062,450.0,1061.332,611.3310830122772,3.801667782190987
Q2-002,2,S002,O01,0.0,0.0,7411.533814153884,308.9542541503906,89.45425415039062,181.25425415039064,1421.332,2041.844,620.5110830122771,2.3041291706893916
Q2-003,1,O01,S007,9.0,0.047,4534.717374921003,511.9731750488281,384.27317504882814,163.47317504882812,360.0,931.374,571.3734429458909,0.9679589605578799
Q2-003,2,S007,O01,0.0,0.0,4534.717374921003,511.9731750488281,163.47317504882812,384.27317504882814,1141.374,1727.468,586.093442945891,0.8595433770407502
Q2-004,1,O01,S013,3.0,0.012,4849.536854548781,399.18182373046875,271.48182373046876,47.48182373046876,330.0,843.615,513.6147419480756,0.9552154347489092
Q2-004,2,S013,O01,0.0,0.0,4849.536854548781,399.18182373046875,47.48182373046876,271.48182373046876,1023.615,1552.164,528.5480752814088,0.8854917240456509
Q2-005,1,O01,S006,20.0,0.062,3186.19885235084,366.09783935546875,238.39783935546876,51.29783935546874,360.0,672.399,312.39833901739973,0.6703307458219514
Q2-005,2,S006,O01,0.0,0.0,3186.19885235084,366.09783935546875,51.29783935546874,238.39783935546876,882.399,1207.271,324.8716723507331,0.4677865798840852
Q2-006,1,O01,S013,25.0,0.067,4849.536854548781,399.18182373046875,271.48182373046876,47.48182373046876,390.0,822.79,432.78912770559583,1.1203603423631132
Q2-006,2,S013,S010,11.0,0.04,1378.6901866268836,504.07037353515625,152.37037353515626,152.47037353515623,1002.79,1206.481,203.69095303424015,0.26148054538549725
Q2-006,3,S010,O01,0.0,0.0,4784.6745062617865,435.63653564453125,84.03653564453123,307.93653564453126,1416.481,1886.647,470.165093223442,0.7041914410393101
Q2-007,1,O01,S014,14.0,0.027,5419.5362999417475,591.9473876953125,464.2473876953125,240.9473876953125,330.226,1032.983,702.7561093050415,1.2122987404498995
Q2-007,2,S014,O01,0.0,0.0,5419.5362999417475,591.9473876953125,240.9473876953125,464.2473876953125,1212.983,1930.626,717.642775971708,1.0393290605975225
Q2-008,1,O01,S010,14.0,0.027,4784.6745062617865,435.63653564453125,307.93653564453126,84.03653564453123,330.277,865.261,534.9830016611384,1.0378928304811854
Q2-008,2,S010,O01,0.0,0.0,4784.6745062617865,435.63653564453125,84.03653564453123,307.93653564453126,1045.261,1595.171,549.9096683278051,0.8834976543599498
Q2-009,1,O01,S006,25.0,0.067,3186.19885235084,366.09783935546875,238.39783935546876,51.29783935546874,1597.271,1909.67,312.39833901739973,0.7565302022399308
Q2-009,2,S006,O01,0.0,0.0,3186.19885235084,366.09783935546875,51.29783935546874,238.39783935546876,2149.67,2474.542,324.8716723507331,0.4677865798840852
Q2-010,1,O01,S001,73.0,0.219,3054.0236075149764,273.0566101074219,145.3566101074219,89.05661010742188,2034.176,2340.449,306.27252293101145,1.8494595036721861
Q2-010,2,S001,O01,0.0,0.0,3054.0236075149764,273.0566101074219,89.05661010742188,145.3566101074219,2808.449,3120.352,311.90252293101145,0.9632516377796227
Q2-011,1,O01,S007,14.0,0.027,4534.717374921003,511.9731750488281,384.27317504882814,163.47317504882812,1882.164,2453.538,571.3734429458909,1.013045038006399
Q2-011,2,S007,O01,0.0,0.0,4534.717374921003,511.9731750488281,163.47317504882812,384.27317504882814,2633.538,3219.632,586.093442945891,0.8595433770407502
Q2-012,1,O01,S014,11.0,0.04,5419.5362999417475,591.9473876953125,464.2473876953125,240.9473876953125,1955.171,2657.928,702.7561093050415,1.1782621964558133
Q2-012,2,S014,O01,0.0,0.0,5419.5362999417475,591.9473876953125,240.9473876953125,464.2473876953125,2867.928,3585.571,717.642775971708,1.0393290605975225
Q2-013,1,O01,S012,25.0,0.067,7391.140162515387,413.3009948730469,285.6009948730469,133.50099487304686,2276.647,2917.991,641.3434070745934,1.6638918316039737
Q2-013,2,S012,O01,0.0,0.0,7391.140162515387,413.3009948730469,133.50099487304686,285.6009948730469,3157.991,3809.475,651.4834070745934,1.0887081226859587
Q2-014,1,O01,S002,45.0,0.129,7411.533814153884,308.9542541503906,181.25425415039064,89.45425415039062,2491.844,3103.176,611.3310830122772,3.029575875514752
Q2-014,2,S002,S004,28.0,0.054,2248.9543920264437,333.658203125,114.158203125,105.35820312499999,3391.176,3639.449,248.2726756142629,0.8211048168702194
Q2-014,3,S004,S005,14.0,0.027,2608.294551451009,365.80657958984375,137.50657958984374,170.80657958984375,3855.449,4169.742,314.2922250609266,0.8791353667583988
Q2-014,4,S005,O01,0.0,0.0,5280.5933691157215,326.410888671875,131.410888671875,198.710888671875,4385.742,4889.702,503.9593577457356,1.659551112250462
Q2-015,1,O01,S008,25.0,0.067,8079.110448788476,372.9093322753906,245.20933227539064,102.00933227539065,2864.542,3525.69,661.1475402545182,1.7959618045128665
Q2-015,2,S008,O01,0.0,0.0,8079.110448788476,372.9093322753906,102.00933227539065,245.20933227539064,3765.69,4436.385,670.6942069211849,1.1792450700293666
Q2-016,1,O01,S007,14.0,0.027,4534.717374921003,511.9731750488281,384.27317504882814,163.47317504882812,2913.924,3485.298,571.3734429458909,1.013045038006399
Q2-016,2,S007,O01,0.0,0.0,4534.717374921003,511.9731750488281,163.47317504882812,384.27317504882814,3665.298,4251.392,586.093442945891,0.8595433770407502
Q2-017,1,O01,S006,14.0,0.027,3186.19885235084,366.09783935546875,238.39783935546876,51.29783935546874,2980.24,3345.742,365.50165322324705,0.7017460022234805
Q2-017,2,S006,O01,0.0,0.0,3186.19885235084,366.09783935546875,51.29783935546874,238.39783935546876,3525.742,3903.717,377.9749865565804,0.5871015175520368
Q2-018,1,O01,S011,70.0,0.196,2808.106412371872,295.36175537109375,167.66175537109376,83.26175537109376,3660.352,3956.255,295.90267399210916,1.6336568219585645
Q2-018,2,S011,S005,45.0,0.129,2802.7636017267305,347.5489196777344,135.44891967773438,152.54891967773438,4244.255,4561.56,317.304934491743,1.1747566013676287
Q2-018,3,S005,O01,0.0,0.0,5280.5933691157215,326.410888671875,131.410888671875,198.710888671875,4921.56,5425.52,503.9593577457356,1.659551112250462
Q2-019,1,O01,S008,14.0,0.027,8079.110448788476,372.9093322753906,245.20933227539064,102.00933227539065,3549.632,4345.432,795.7993810676594,1.6652038133562126
Q2-019,2,S008,O01,0.0,0.0,8079.110448788476,372.9093322753906,102.00933227539065,245.20933227539064,4525.432,5330.779,805.3460477343261,1.4812560409999396
